holeid,from,to,Avg depth,X,Y,Z,Lithology_code,MOC_code,Structure_code,GRADE,length,Structure_grp,MOC_grp,Lithology_grp
MRCB21,557,557.5,557.25,9925.7255675,11199.4325525,-377.64625,13,20,0,0.05,0.5,0,5,8
MRCB21,557.5,558,557.75,9925.8908825,11199.6297975,-378.07475,13,20,0,0.37,0.5,0,5,8
MRCB21,558,558.5,558.25,9926.0561975,11199.8270425,-378.50325,13,20,0,0.21,0.5,0,5,8
MRCB21,558.5,559,558.75,9926.2215125,11200.0242875,-378.93175,13,20,0,0.17,0.5,0,4,2
MRCB21,559,559.5,559.25,9926.3868275,11200.2215325,-379.36025,8,18,0,0.28,0.5,0,4,2
MRCB21,559.5,560,559.75,9926.5521425,11200.4187775,-379.78875,8,18,0,0.22,0.5,0,2,3
MRCB21,560,560.5,560.25,9926.7174575,11200.6160225,-380.21725,11,8,0,0.01,0.5,0,2,3
MRCB21,560.5,561,560.75,9926.8827725,11200.8132675,-380.64575,11,8,0,0.01,0.5,0,2,3
MRCB21,561,561.5,561.25,9927.0480875,11201.0105125,-381.07425,11,8,0,0.07,0.5,0,2,3
MRCB21,561.5,562,561.75,9927.2134025,11201.2077575,-381.50275,11,8,0,0.07,0.5,0,2,3
MRCB21,562,562.5,562.25,9927.3787175,11201.4050025,-381.93125,11,8,0,0.22,0.5,0,5,3
MRCB21,562.5,563,562.75,9927.5440325,11201.6022475,-382.35975,11,21,0,0.16,0.5,0,2,3
MRCB21,563,563.5,563.25,9927.7093475,11201.7994925,-382.78825,11,8,0,0.1,0.5,0,2,9
MRCB21,563.5,564,563.75,9927.8746625,11201.9967375,-383.21675,14,8,0,0.01,0.5,0,1,2
MRCB21,564,564.5,564.25,9928.0399775,11202.1939825,-383.64525,2,19,0,0.01,0.5,0,1,2
MRCB21,564.5,565,564.75,9928.2052925,11202.3912275,-384.07375,2,19,0,0.04,0.5,0,1,5
MRCB21,565,565.5,565.25,9928.3706075,11202.5884725,-384.50225,15,17,0,0.01,0.5,0,1,5
MRCB21,565.5,566,565.75,9928.5359225,11202.7857175,-384.93075,15,17,0,0.15,0.5,0,1,5
MRCB21,566,566.5,566.25,9928.7012375,11202.9829625,-385.35925,15,17,0,0.15,0.5,0,1,5
MRCB21,566.5,567,566.75,9928.8665525,11203.1802075,-385.78775,15,17,0,1.11,0.5,0,1,5
MRCB21,567,567.5,567.25,9929.0318675,11203.3774525,-386.21625,15,17,0,1.27,0.5,0,1,5
MRCB21,567.5,568,567.75,9929.1971825,11203.5746975,-386.64475,15,17,0,0.36,0.5,0,4,5
MRCB21,568,568.5,568.25,9929.3624975,11203.7719425,-387.07325,15,13,0,0.46,0.5,0,4,5
MRCB21,568.5,569,568.75,9929.5278125,11203.9691875,-387.50175,15,13,0,0.1,0.5,0,4,5
MRCB21,569,569.5,569.25,9929.6931275,11204.1664325,-387.93025,15,13,0,0.42,0.5,0,4,5
MRCB21,569.5,570,569.75,9929.8584425,11204.3636775,-388.35875,15,13,0,0.22,0.5,0,4,5
MRCB21,570,570.5,570.25,9930.0237575,11204.5609225,-388.78725,15,13,0,0.29,0.5,0,4,5
MRCB21,570.5,571,570.75,9930.1890725,11204.7581675,-389.21575,15,13,0,0.24,0.5,0,5,5
MRCB21,571,571.5,571.25,9930.3543875,11204.9554125,-389.64425,15,22,0,0.4,0.5,0,5,5
MRCB21,571.5,572,571.75,9930.5197025,11205.1526575,-390.07275,15,22,0,0.55,0.5,0,5,5
MRCB21,572,572.5,572.25,9930.6850175,11205.3499025,-390.50125,15,22,0,1.11,0.5,0,5,5
MRCB21,572.5,573,572.75,9930.8503325,11205.5471475,-390.92975,15,22,0,1.1,0.5,0,5,5
MRCB21,573,573.5,573.25,9931.0156475,11205.7443925,-391.35825,15,22,0,0.58,0.5,0,5,5
MRCB21,573.5,574,573.75,9931.1809625,11205.9416375,-391.78675,15,22,0,0.18,0.5,0,4,5
MRCB21,574,574.5,574.25,9931.3462775,11206.1388825,-392.21525,15,18,0,1.25,0.5,0,4,5
MRCB21,574.5,575,574.75,9931.5115925,11206.3361275,-392.64375,15,18,0,0.4,0.5,0,4,5
MRCB21,575,575.5,575.25,9931.6769075,11206.5333725,-393.07225,15,18,0,1.29,0.5,0,4,5
MRCB21,575.5,576,575.75,9931.8422225,11206.7306175,-393.50075,15,18,0,1.21,0.5,0,4,5
MRCB21,576,576.5,576.25,9932.0075375,11206.9278625,-393.92925,15,18,0,1.32,0.5,0,4,5
MRCB21,576.5,577,576.75,9932.1728525,11207.1251075,-394.35775,15,18,0,1.24,0.5,0,4,5
MRCB21,577,577.5,577.25,9932.3381675,11207.3223525,-394.78625,15,18,0,1.04,0.5,0,4,5
MRCB21,577.5,578,577.75,9932.5034825,11207.5195975,-395.21475,15,18,0,0.71,0.5,0,4,5
MRCB21,578,578.5,578.25,9932.6687975,11207.7168425,-395.64325,15,18,0,0.56,0.5,0,4,5
MRCB21,578.5,579,578.75,9932.8341125,11207.9140875,-396.07175,15,18,0,0.45,0.5,0,5,5
MRCB21,579,579.5,579.25,9932.9994275,11208.1113325,-396.50025,15,20,0,0.29,0.5,0,5,5
